"","V1"
"403",0.941
"404",0.939
"405",0.9389
"406",0.9276
"407",0.9243
"408",0.9264
"409",0.9142
"410",0.9028
"411",0.9031
"412",0.9084
"413",0.9047
"414",0.8973
"415",0.9031
"416",0.9132
"417",0.9011
"418",0.9118
"419",0.9072
"420",0.914
"421",0.9127
"422",0.9023
"423",0.8972
"424",0.8918
"425",0.9012
"426",0.9021
"427",0.9007
"428",0.8965
"429",0.8909
"430",0.8906
"431",0.8902
"432",0.9
"433",0.8886
"434",0.8818
"435",0.8676
"436",0.8735
"437",0.8609
"438",0.8614
"439",0.8654
"440",0.8693
"441",0.8615
"442",0.8526
"443",0.8541
"444",0.8476
"445",0.8524
"446",0.889
"447",0.877
"448",0.8757
"449",0.8861
"450",0.8832
"451",0.8765
"452",0.8802
"453",0.8763
"454",0.873
"455",0.8786
"456",0.8703
"457",0.8695
"458",0.8721
"459",0.872
"460",0.8648
"461",0.8627
"462",0.8511
"463",0.8496
"464",0.8525
"465",0.8411
"466",0.8452
"467",0.8377
"468",0.8386
"469",0.8307
"470",0.8252
"471",0.8324
"472",0.8482
"473",0.8417
"474",0.8554
"475",0.8646
"476",0.873
"477",0.8667
"478",0.8587
"479",0.8559
"480",0.8531
"481",0.8673
"482",0.862
"483",0.8583
"484",0.8596
"485",0.8569
"486",0.8535
"487",0.8488
"488",0.8474
"489",0.8429
"490",0.8427
"491",0.8436
"492",0.8406
"493",0.8561
"494",0.865
"495",0.8684
"496",0.8735
"497",0.8908
"498",0.881
"499",0.8828
"500",0.8943
"501",0.8895
"502",0.8804
"503",0.8782
"504",0.8748
"505",0.8839
"506",0.8984
"507",0.8966
"508",0.8903
"509",0.9059
"510",0.9146
"511",0.924
"512",0.931
"513",0.9285
"514",0.9305
"515",0.9423
"516",0.953
"517",0.9458
"518",0.9545
"519",0.9497
"520",0.9401
"521",0.9412
"522",0.9523
"523",0.9545
"524",0.9428
"525",0.9412
"526",0.9396
"527",0.9404
"528",0.94
"529",0.929
"530",0.9407
"531",0.9294
"532",0.9146
"533",0.9228
"534",0.9193
"535",0.9197
"536",0.9293
"537",0.9406
"538",0.9407
"539",0.9425
"540",0.9322
"541",0.9325
"542",0.922
"543",0.9227
"544",0.9288
"545",0.9275
"546",0.9178
